X,Y,month,month_num,day,day_num,temp,wind,rain,RH,FFMC,DMC,DC,ISI,area,log_burned_area,burn_units
6,5,mar,3,mon,1,10.2,5.8,0.0,45,87.2,15.1,36.9,7.1,3.18,1.430311246536665,High Burn
6,5,mar,3,sun,7,12.4,3.6,0.0,54,90.1,37.6,83.7,7.2,12.1,2.5726122302071057,High Burn
3,4,mar,3,wed,3,8.9,8.0,0.0,35,93.4,17.3,28.3,9.9,0.0,0.0,Low Burn
6,5,mar,3,sat,6,17.4,4.9,0.0,25,91.7,35.8,80.8,7.8,0.0,0.0,Low Burn
3,4,mar,3,wed,3,11.2,5.4,0.0,41,90.2,18.5,41.1,7.3,5.55,1.8794650496471605,High Burn
8,6,mar,3,fri,5,17.4,5.4,0.0,24,91.7,35.8,80.8,7.8,0.0,0.0,Low Burn
5,4,mar,3,fri,5,15.6,6.3,0.0,25,91.7,33.3,77.5,9.0,0.0,0.0,Low Burn
7,5,mar,3,fri,5,8.2,6.7,0.0,51,86.2,26.2,94.3,5.1,0.0,0.0,Low Burn
6,4,mar,3,sat,6,13.3,0.9,0.0,42,90.8,41.9,89.4,7.9,7.4,2.128231705849268,High Burn
4,5,mar,3,fri,5,12.7,6.3,0.0,52,85.9,19.5,57.3,2.8,0.0,0.0,Low Burn
6,5,mar,3,fri,5,14.6,9.4,0.0,26,91.2,48.3,97.8,12.5,2.53,1.2612978709452054,High Burn
6,3,mar,3,sat,6,15.2,8.5,0.0,31,90.6,50.1,100.4,7.8,1.94,1.0784095813505903,High Burn
5,5,mar,3,thu,4,11.6,5.4,0.0,48,90.9,18.9,30.6,8.0,0.0,0.0,Low Burn
7,4,mar,3,mon,1,16.1,3.1,0.0,29,90.1,39.7,86.6,6.2,1.75,1.0116009116784799,High Burn
2,4,mar,3,tue,2,15.2,7.6,0.0,19,93.4,15.0,25.6,11.4,0.0,0.0,Low Burn
6,5,mar,3,thu,4,8.7,5.8,0.0,51,90.9,18.9,30.6,8.0,0.0,0.0,Low Burn
5,4,mar,3,mon,1,13.2,5.4,0.0,40,90.1,39.7,86.6,6.2,0.95,0.6678293725756554,Low Burn
3,5,mar,3,tue,2,14.9,2.7,0.0,38,88.1,25.7,67.6,3.8,0.0,0.0,Low Burn
4,6,mar,3,sun,7,10.6,4.9,0.0,46,89.3,51.3,102.2,9.6,0.0,0.0,Low Burn
4,6,mar,3,mon,1,14.0,3.1,0.0,39,87.2,23.9,64.7,4.1,0.0,0.0,Low Burn
6,5,mar,3,fri,5,11.7,4.0,0.0,33,91.2,48.3,97.8,12.5,8.31,2.231089091288976,High Burn
6,5,mar,3,wed,3,13.8,5.8,0.0,24,93.4,17.3,28.3,9.9,0.0,0.0,Low Burn
3,4,mar,3,mon,1,10.6,4.0,0.0,30,90.1,39.7,86.6,6.2,0.0,0.0,Low Burn
3,4,mar,3,sat,6,15.2,4.9,0.0,27,91.7,35.8,80.8,7.8,0.0,0.0,Low Burn
3,4,mar,3,sat,6,11.6,6.3,0.0,30,91.7,35.8,80.8,7.8,0.0,0.0,Low Burn
3,5,mar,3,tue,2,15.5,6.3,0.0,27,88.1,25.7,67.6,3.8,0.0,0.0,Low Burn
3,4,mar,3,tue,2,15.8,7.6,0.0,27,88.1,25.7,67.6,3.8,0.0,0.0,Low Burn
8,6,mar,3,sun,7,11.5,5.8,0.0,39,89.3,51.3,102.2,9.6,7.19,2.1029138978649784,High Burn
3,4,mar,3,fri,5,18.8,4.5,0.0,18,91.7,33.3,77.5,9.0,0.0,0.0,Low Burn
4,4,mar,3,fri,5,13.7,5.8,0.0,43,85.9,19.5,57.3,2.8,0.0,0.0,Low Burn
7,4,mar,3,sun,7,11.5,4.0,0.0,60,90.7,44.0,92.4,5.5,8.24,2.2235418856535927,High Burn
4,5,mar,3,thu,4,18.2,3.1,0.0,29,91.4,30.7,74.3,7.5,0.0,0.0,Low Burn
3,5,mar,3,mon,1,9.0,2.2,0.0,49,87.6,52.2,103.8,5.0,0.0,0.0,Low Burn
6,5,mar,3,thu,4,13.3,3.6,0.0,27,91.3,20.6,43.5,8.5,6.61,2.0294631718735947,High Burn
6,5,mar,3,thu,4,5.3,4.5,0.0,70,84.9,18.2,55.0,3.0,2.14,1.144222799920162,High Burn
2,2,mar,3,sun,7,11.5,5.8,0.0,39,89.3,51.3,102.2,9.6,0.0,0.0,Low Burn
4,4,mar,3,tue,2,14.1,2.7,0.0,43,88.1,25.7,67.6,3.8,0.0,0.0,Low Burn
6,5,mar,3,mon,1,15.2,3.1,0.0,27,90.1,39.7,86.6,6.2,31.86,3.492256112609122,High Burn
4,4,mar,3,sat,6,17.0,4.9,0.0,27,91.7,35.8,80.8,7.8,28.66,3.389799336709786,High Burn
6,4,mar,3,wed,3,15.9,4.0,0.0,35,89.2,27.9,70.8,6.3,0.0,0.0,Low Burn
5,5,mar,3,sat,6,15.1,5.4,0.0,27,91.7,35.8,80.8,7.8,0.0,0.0,Low Burn
4,4,mar,3,sat,6,17.0,4.9,0.0,27,91.7,35.8,80.8,7.8,28.66,3.389799336709786,High Burn
4,3,mar,3,mon,1,11.0,5.8,0.0,46,87.6,52.2,103.8,5.0,36.85,3.6336309798834576,High Burn
4,4,mar,3,mon,1,11.8,1.8,0.0,35,87.2,23.9,64.7,4.1,0.0,0.0,Low Burn
2,2,mar,3,sun,7,5.5,6.3,0.0,59,89.3,51.3,102.2,9.6,0.0,0.0,Low Burn
8,6,mar,3,sun,7,11.4,1.8,0.0,99,89.3,51.3,102.2,9.6,0.0,0.0,Low Burn
8,6,mar,3,fri,5,8.3,4.0,0.2,97,91.7,33.3,77.5,9.0,0.0,0.0,Low Burn
7,3,mar,3,mon,1,11.0,5.8,0.0,46,87.6,52.2,103.8,5.0,27.35,3.3446270301737613,High Burn
4,4,mar,3,mon,1,11.0,5.8,0.0,46,87.6,52.2,103.8,5.0,0.0,0.0,Low Burn
7,5,apr,4,sun,7,13.4,1.8,0.0,75,81.9,3.0,7.9,3.5,0.0,0.0,Low Burn
6,3,apr,4,wed,3,15.2,2.7,0.0,51,88.0,17.2,43.5,3.8,0.0,0.0,Low Burn
6,5,apr,4,mon,1,10.9,3.1,0.0,64,87.9,24.9,41.6,3.7,3.35,1.4701758451005926,High Burn
4,4,apr,4,fri,5,16.7,3.1,0.0,20,83.0,23.3,85.3,2.3,0.0,0.0,Low Burn
6,5,apr,4,thu,4,5.8,5.8,0.0,54,81.5,9.1,55.2,2.7,4.61,1.724550719534605,High Burn
6,4,apr,4,sat,6,9.3,4.5,0.0,44,86.3,27.4,97.1,5.1,0.0,0.0,Low Burn
5,4,apr,4,sun,7,17.6,5.8,0.0,27,91.0,14.6,25.6,12.3,0.0,0.0,Low Burn
6,3,apr,4,sun,7,13.7,9.4,0.0,33,91.0,14.6,25.6,12.3,61.13,4.129228964075603,High Burn
6,5,apr,4,thu,4,5.8,5.8,0.0,54,81.5,9.1,55.2,2.7,10.93,2.4790562361098245,High Burn
6,5,may,5,sat,6,11.3,4.9,0.0,94,85.1,28.0,113.8,3.5,0.0,0.0,Low Burn
4,3,may,5,fri,5,18.0,4.0,0.0,40,89.6,25.4,73.7,5.7,38.48,3.675794214565281,High Burn
6,5,jun,6,mon,1,20.7,4.9,0.0,25,90.4,93.3,298.1,7.5,0.0,0.0,Low Burn
6,5,jun,6,mon,1,19.1,5.4,0.0,39,90.4,93.3,298.1,7.5,3.52,1.5085119938441398,High Burn
8,6,jun,6,wed,3,19.6,4.9,0.0,43,91.2,147.8,377.2,12.7,0.0,0.0,Low Burn
3,6,jun,6,fri,5,19.2,4.5,0.0,38,91.1,94.1,232.1,7.1,0.0,0.0,Low Burn
3,6,jun,6,fri,5,19.2,4.5,0.0,38,91.1,94.1,232.1,7.1,0.0,0.0,Low Burn
9,5,jun,6,wed,3,28.0,4.5,0.0,34,93.3,49.5,297.7,14.0,8.16,2.214846178686039,High Burn
8,6,jun,6,sun,7,15.4,2.2,0.0,45,90.4,89.5,290.8,6.4,0.0,0.0,Low Burn
9,5,jun,6,wed,3,28.0,4.5,0.0,34,93.3,49.5,297.7,14.0,0.0,0.0,Low Burn
6,5,jun,6,fri,5,23.2,5.4,0.0,39,92.5,56.4,433.3,7.1,1.19,0.7839015438284094,Low Burn
6,4,jun,6,sun,7,14.3,1.8,0.0,46,90.4,89.5,290.8,6.4,0.9,0.6418538861723948,Low Burn
7,4,jun,6,sun,7,21.0,4.5,0.0,44,94.3,96.3,200.0,56.1,0.0,0.0,Low Burn
7,5,jun,6,sun,7,22.2,1.3,0.0,48,93.1,180.4,430.8,11.0,0.0,0.0,Low Burn
6,5,jun,6,sat,6,10.6,2.7,0.0,90,53.4,71.0,233.8,0.4,0.0,0.0,Low Burn
8,3,jun,6,mon,1,14.3,4.0,0.0,79,88.2,96.2,229.0,4.7,1.94,1.0784095813505903,High Burn
9,4,jun,6,sat,6,24.5,3.1,0.0,50,90.5,61.1,252.6,9.4,70.32,4.267176792994939,High Burn
4,3,jun,6,thu,4,26.4,2.7,0.0,35,93.0,103.8,316.7,10.8,10.08,2.405141681319138,High Burn
2,5,jun,6,thu,4,22.7,9.4,0.0,40,93.7,121.7,350.2,18.0,3.19,1.4327007339340463,High Burn
2,5,jul,7,sat,6,23.8,1.8,0.0,51,90.8,84.7,376.6,5.6,0.0,0.0,Low Burn
7,4,jul,7,sat,6,22.1,2.7,0.0,49,91.6,104.2,474.9,9.0,0.0,0.0,Low Burn
6,3,jul,7,tue,2,26.3,3.1,0.0,39,92.7,164.1,575.8,8.9,7.02,2.081938421878423,High Burn
3,4,jul,7,wed,3,14.2,4.0,0.0,58,91.9,133.6,520.5,8.0,0.0,0.0,Low Burn
7,6,jul,7,wed,3,12.6,7.6,0.2,90,91.2,183.1,437.7,12.5,0.0,0.0,Low Burn
8,6,jul,7,tue,2,17.1,3.6,0.0,67,92.3,88.8,440.9,8.5,6.57,2.0241930674493576,High Burn
7,4,jul,7,sun,7,18.2,4.5,0.0,82,93.7,101.3,423.4,14.7,2.21,1.1662709371419244,High Burn
9,4,jul,7,mon,1,22.8,4.5,0.0,27,92.3,92.1,442.1,9.8,1.63,0.9669838461896731,High Burn
9,9,jul,7,tue,2,18.0,2.7,0.0,42,85.8,48.3,313.4,3.9,0.36,0.3074846997479606,Low Burn
4,3,jul,7,sun,7,26.1,4.0,0.0,45,93.7,101.3,423.4,14.7,7.36,2.1234584270966104,High Burn
1,2,jul,7,sat,6,16.6,5.4,0.0,53,90.0,51.3,296.3,8.7,0.71,0.5364933705145685,Low Burn
3,4,jul,7,mon,1,17.9,2.7,0.0,48,94.6,160.0,567.2,16.7,0.0,0.0,Low Burn
2,5,jul,7,sun,7,23.4,6.3,0.0,40,93.9,169.7,411.8,12.3,0.0,0.0,Low Burn
6,6,jul,7,mon,1,23.0,3.1,0.0,36,94.2,62.3,442.9,11.0,0.0,0.0,Low Burn
9,9,jul,7,sun,7,24.8,2.2,0.0,29,90.1,68.6,355.2,7.2,1.36,0.8586616190375187,Low Burn
3,4,jul,7,sat,6,24.6,1.8,0.0,43,90.1,51.2,424.1,6.2,1.43,0.8878912573524571,Low Burn
4,3,jul,7,thu,4,27.2,1.3,0.0,28,93.5,85.3,395.0,9.9,1.76,1.0152306797290584,High Burn
5,4,jul,7,wed,3,19.3,7.2,0.0,39,93.7,101.3,458.8,11.9,7.73,2.166765369851511,High Burn
1,4,jul,7,tue,2,23.4,5.4,0.0,31,92.3,96.2,450.2,12.1,0.0,0.0,Low Burn
9,9,jul,7,thu,4,30.2,4.5,0.0,25,93.2,114.4,560.0,9.5,2.75,1.3217558399823195,High Burn
7,4,jul,7,mon,1,22.6,4.9,0.0,57,89.2,103.9,431.6,6.4,278.53,5.633109621361155,High Burn
7,4,jul,7,sat,6,24.2,1.8,0.0,32,91.6,104.2,474.9,9.0,0.0,0.0,Low Burn
9,4,jul,7,sat,6,25.3,0.9,0.0,39,91.6,104.2,474.9,9.0,8.0,2.1972245773362196,High Burn
2,2,jul,7,fri,5,13.4,3.6,0.0,79,88.3,150.3,309.9,6.8,37.02,3.6381123370602833,High Burn
4,5,jul,7,fri,5,22.9,1.3,0.0,40,91.6,100.2,466.3,6.3,2.64,1.2919836816486494,High Burn
2,5,jul,7,sat,6,18.7,1.8,0.0,53,91.6,104.2,474.9,9.0,0.0,0.0,Low Burn
1,2,jul,7,fri,5,14.8,8.0,0.0,78,90.7,80.9,368.3,16.8,0.0,0.0,Low Burn
4,4,jul,7,tue,2,23.3,3.1,0.0,37,79.5,60.6,366.7,1.5,0.0,0.0,Low Burn
7,4,jul,7,sat,6,24.3,1.8,0.0,30,91.6,104.2,474.9,9.0,0.0,0.0,Low Burn
4,3,jul,7,thu,4,30.2,4.9,0.0,22,93.2,114.4,560.0,9.5,0.0,0.0,Low Burn
8,6,jul,7,sun,7,29.3,3.6,0.0,27,88.9,263.1,795.9,5.2,6.3,1.9878743481543455,High Burn
7,6,jul,7,tue,2,26.9,5.4,0.0,28,93.1,180.4,430.8,11.0,86.45,4.471067201464611,High Burn
8,6,aug,8,thu,4,16.2,2.7,0.0,63,90.7,194.1,643.0,6.8,16.33,2.8524391037275145,High Burn
8,6,aug,8,tue,2,20.1,4.5,0.0,58,92.1,152.6,658.2,14.3,9.27,2.329227023940467,High Burn
2,2,aug,8,tue,2,21.8,3.1,0.0,56,92.1,152.6,658.2,14.3,0.52,0.41871033485818504,Low Burn
6,5,aug,8,tue,2,19.4,4.0,0.0,55,94.3,131.7,607.1,22.7,0.17,0.15700374880966478,Low Burn
3,4,aug,8,tue,2,21.0,3.1,0.0,32,92.1,152.6,658.2,14.3,0.0,0.0,Low Burn
8,5,aug,8,wed,3,24.0,3.1,0.0,36,93.1,157.3,666.7,13.5,0.24,0.2151113796169455,Low Burn
6,5,aug,8,wed,3,22.1,3.6,0.0,37,93.1,157.3,666.7,13.5,0.21,0.19062035960864973,Low Burn
8,5,aug,8,wed,3,26.8,3.1,0.0,25,93.1,157.3,666.7,13.5,0.68,0.5187937934151675,Low Burn
2,2,aug,8,tue,2,23.7,3.1,0.0,24,92.1,152.6,658.2,14.3,0.0,0.0,Low Burn
3,4,aug,8,wed,3,21.7,0.4,0.0,40,93.1,157.3,666.7,13.5,2.47,1.244154593958768,High Burn
7,4,aug,8,thu,4,21.4,2.7,0.0,38,91.9,109.2,565.5,8.0,1.52,0.9242589015233319,High Burn
4,4,aug,8,tue,2,19.1,2.7,0.0,53,92.1,152.6,658.2,14.3,4.4,1.6863989535702288,High Burn
3,4,aug,8,fri,5,11.2,7.6,0.0,84,91.6,112.4,573.0,8.9,3.3,1.4586150226995167,High Burn
8,6,aug,8,wed,3,28.2,1.8,0.0,29,95.2,217.7,690.0,18.0,5.86,1.925707441737794,High Burn
2,4,aug,8,mon,1,28.3,4.0,0.0,32,93.6,97.9,542.0,14.4,8.85,2.2874714551839976,High Burn
2,5,aug,8,tue,2,20.2,4.0,0.0,47,92.1,152.6,658.2,14.3,3.09,1.4085449700547104,High Burn
7,4,aug,8,sat,6,23.7,1.8,0.0,40,91.8,170.9,692.3,13.7,1.38,0.8671004876833833,Low Burn
2,4,aug,8,fri,5,21.4,3.1,0.0,42,91.6,112.4,573.0,8.9,4.25,1.6582280766035324,High Burn
4,5,aug,8,sun,7,10.4,0.9,0.0,75,92.0,203.2,664.5,8.1,0.0,0.0,Low Burn
1,4,aug,8,sat,6,25.6,4.0,0.0,42,94.4,146.0,614.7,11.3,0.0,0.0,Low Burn
6,3,aug,8,thu,4,18.9,3.1,0.0,41,91.6,138.1,621.7,6.3,10.34,2.428336298299606,High Burn
6,3,aug,8,fri,5,19.3,3.6,0.0,39,91.1,141.1,629.1,7.1,1.56,0.9400072584914712,High Burn
4,3,aug,8,sat,6,21.4,2.7,0.0,44,94.2,117.2,581.1,11.0,0.68,0.5187937934151675,Low Burn
4,4,aug,8,tue,2,22.1,7.6,0.0,54,93.7,102.2,550.3,14.6,0.79,0.5822156198526637,Low Burn
8,6,aug,8,sat,6,23.9,2.2,0.0,41,94.2,117.2,581.1,11.0,8.02,2.199444334074532,High Burn
2,5,aug,8,thu,4,22.3,4.0,0.0,46,87.5,77.0,694.8,5.0,0.0,0.0,Low Burn
5,4,aug,8,thu,4,20.3,2.7,0.0,42,94.8,222.4,698.6,13.9,0.0,0.0,Low Burn
8,6,aug,8,mon,1,21.1,2.2,0.0,54,92.1,207.0,672.6,8.2,0.0,0.0,Low Burn
4,4,aug,8,fri,5,21.8,3.1,0.0,53,94.3,167.6,684.4,13.0,6.54,2.020222182019865,High Burn
2,2,aug,8,sat,6,21.9,2.2,0.0,42,93.7,231.1,715.1,8.4,174.63,5.168379509433644,High Burn
2,4,aug,8,wed,3,30.8,4.5,0.0,19,95.2,217.7,690.0,18.0,0.0,0.0,Low Burn
8,4,aug,8,sat,6,21.3,4.5,0.0,44,91.6,273.8,819.1,7.7,12.18,2.578700529074361,High Burn
6,6,aug,8,sat,6,30.8,4.9,0.0,30,96.0,164.0,643.0,14.0,8.59,2.2607208888953467,High Burn
1,3,aug,8,fri,5,27.5,4.5,0.0,29,95.9,158.0,633.6,11.3,43.32,3.7914360424390283,High Burn
1,3,aug,8,fri,5,32.4,2.2,0.0,27,95.9,158.0,633.6,11.3,0.0,0.0,Low Burn
4,4,aug,8,thu,4,32.4,4.5,0.0,21,95.8,152.0,624.1,13.8,0.0,0.0,Low Burn
4,4,aug,8,wed,3,28.7,4.0,0.0,33,95.1,141.3,605.8,17.7,0.0,0.0,Low Burn
4,4,aug,8,wed,3,20.6,1.3,0.0,58,95.1,141.3,605.8,17.7,0.0,0.0,Low Burn
4,4,aug,8,tue,2,19.4,7.6,0.0,71,95.1,141.3,605.8,17.7,46.7,3.8649313978942956,High Burn
6,6,aug,8,mon,1,23.9,2.2,0.0,42,96.2,175.5,661.8,16.8,0.0,0.0,Low Burn
5,4,aug,8,tue,2,26.4,3.6,0.0,34,95.1,141.3,605.8,17.7,16.4,2.856470206220483,High Burn
2,4,aug,8,mon,1,30.6,3.6,0.0,28,95.0,135.5,596.3,21.3,2.07,1.1216775615991057,High Burn
2,5,aug,8,sun,7,33.1,4.0,0.0,25,94.9,130.3,587.1,14.1,26.43,3.311637304949512,High Burn
8,6,aug,8,sun,7,31.0,5.4,0.0,27,94.9,130.3,587.1,14.1,0.0,0.0,Low Burn
3,4,aug,8,sun,7,23.4,5.8,0.0,40,94.9,130.3,587.1,14.1,1.29,0.8285518175661483,Low Burn
8,6,aug,8,sat,6,18.9,4.9,0.0,64,93.7,231.1,715.1,8.4,0.0,0.0,Low Burn
2,5,aug,8,sat,6,18.9,4.9,0.0,64,93.7,231.1,715.1,8.4,0.0,0.0,Low Burn
7,4,aug,8,sat,6,15.5,8.0,0.0,72,91.6,273.8,819.1,7.7,1.94,1.0784095813505903,High Burn
5,4,aug,8,tue,2,24.1,6.3,0.0,43,95.1,141.3,605.8,17.7,2.0,1.0986122886681098,High Burn
8,6,aug,8,sat,6,18.9,4.9,0.0,64,93.7,231.1,715.1,8.4,3.32,1.463255402256019,High Burn
4,5,aug,8,mon,1,32.6,3.1,0.0,26,96.2,175.5,661.8,16.8,2.77,1.3270750014599193,High Burn
6,5,aug,8,tue,2,33.3,2.7,0.0,26,96.1,181.1,671.2,14.3,40.54,3.726656818447966,High Burn
7,4,aug,8,sun,7,21.2,6.7,0.0,70,81.6,56.7,665.6,1.9,11.16,2.498151876538021,High Burn
2,4,aug,8,sun,7,21.9,5.8,0.0,71,81.6,56.7,665.6,1.9,54.29,4.012592060349841,High Burn
4,3,aug,8,sun,7,27.8,2.7,0.0,32,81.6,56.7,665.6,1.9,6.44,2.0068708488450007,High Burn
8,6,aug,8,sun,7,27.8,2.7,0.0,35,81.6,56.7,665.6,1.9,0.0,0.0,Low Burn
6,5,aug,8,fri,5,18.2,5.4,0.0,62,91.0,166.9,752.6,7.1,0.43,0.35767444427181594,Low Burn
5,4,aug,8,fri,5,21.1,7.6,1.4,71,91.0,166.9,752.6,7.1,2.17,1.1537315878891892,High Burn
1,2,aug,8,fri,5,25.9,3.6,0.0,41,91.0,166.9,752.6,7.1,0.0,0.0,Low Burn
3,4,aug,8,tue,2,32.3,2.2,0.0,27,96.1,181.1,671.2,14.3,14.68,2.7523860149222616,High Burn
2,4,aug,8,fri,5,25.9,3.6,0.0,41,91.0,166.9,752.6,7.1,0.0,0.0,Low Burn
1,2,aug,8,thu,4,26.7,1.8,0.0,35,91.0,163.2,744.4,10.1,5.8,1.916922612182061,High Burn
4,3,aug,8,wed,3,28.9,4.9,0.0,29,94.5,139.4,689.1,20.0,49.59,3.923753928303845,High Burn
2,4,aug,8,wed,3,29.2,4.9,0.0,30,94.5,139.4,689.1,20.0,1.95,1.0818051703517284,High Burn
4,4,aug,8,tue,2,20.7,4.9,0.4,69,96.1,181.1,671.2,14.3,0.0,0.0,Low Burn
7,5,aug,8,tue,2,21.6,4.9,0.8,65,96.1,181.1,671.2,14.3,0.0,0.0,Low Burn
8,6,aug,8,tue,2,21.6,4.9,0.8,65,96.1,181.1,671.2,14.3,0.0,0.0,Low Burn
7,5,aug,8,tue,2,27.3,4.9,6.4,63,96.1,181.1,671.2,14.3,10.82,2.469793011977952,High Burn
1,2,aug,8,fri,5,18.5,8.5,0.0,73,91.0,166.9,752.6,7.1,0.0,0.0,Low Burn
9,6,aug,8,thu,4,20.5,2.7,0.0,58,91.6,248.4,753.8,6.3,42.87,3.7812307151781224,High Burn
1,4,aug,8,wed,3,19.9,4.0,0.0,50,91.7,191.4,635.9,7.8,82.75,4.427836170705175,High Burn
3,4,aug,8,thu,4,16.8,3.1,0.0,56,91.6,248.4,753.8,6.3,0.0,0.0,Low Burn
8,6,aug,8,sat,6,26.9,3.6,0.0,31,93.7,231.1,715.1,8.4,4.96,1.7850704810772584,High Burn
8,6,aug,8,wed,3,28.7,2.7,0.0,28,93.1,157.3,666.7,13.5,0.0,0.0,Low Burn
8,8,aug,8,wed,3,26.2,4.5,0.0,36,91.7,191.4,635.9,7.8,185.76,5.229824370102736,High Burn
2,5,aug,8,sun,7,24.8,4.0,0.0,36,91.6,181.3,613.0,7.6,3.05,1.3987168811184478,High Burn
2,4,aug,8,sun,7,24.9,5.4,0.0,42,92.0,203.2,664.5,8.1,2.44,1.235471471385307,High Burn
8,6,aug,8,thu,4,27.5,4.9,0.0,27,94.8,222.4,698.6,13.9,746.28,6.616439947564594,High Burn
5,4,aug,8,sun,7,24.1,4.0,0.0,50,93.6,235.1,723.1,10.1,0.0,0.0,Low Burn
2,2,aug,8,thu,4,20.4,2.2,0.0,56,91.6,248.4,753.8,6.3,0.0,0.0,Low Burn
7,5,aug,8,sat,6,26.4,3.6,0.0,33,93.7,231.1,715.1,8.4,0.0,0.0,Low Burn
8,6,aug,8,thu,4,21.3,3.6,0.0,41,90.7,194.1,643.0,6.8,0.0,0.0,Low Burn
9,9,aug,8,fri,5,25.0,4.0,0.0,36,94.8,227.0,706.7,12.0,0.0,0.0,Low Burn
1,2,aug,8,sat,6,25.9,3.1,0.0,32,93.7,231.1,715.1,8.4,0.0,0.0,Low Burn
5,6,aug,8,sun,7,24.3,3.6,0.0,33,91.6,181.3,613.0,7.6,3.63,1.5325568680981427,High Burn
7,4,aug,8,fri,5,23.3,3.1,0.0,34,94.8,227.0,706.7,12.0,0.0,0.0,Low Burn
6,4,aug,8,fri,5,23.3,3.1,0.0,34,94.8,227.0,706.7,12.0,28.74,3.392492941032009,High Burn
2,4,aug,8,sun,7,20.9,2.2,0.0,50,91.6,181.3,613.0,7.6,16.0,2.833213344056216,High Burn
2,2,aug,8,tue,2,27.9,2.2,0.0,27,94.6,212.1,680.9,9.5,0.0,0.0,Low Burn
2,4,aug,8,thu,4,16.6,2.7,0.0,59,91.6,248.4,753.8,6.3,0.0,0.0,Low Burn
8,6,aug,8,thu,4,20.4,2.2,0.0,56,91.6,248.4,753.8,6.3,0.0,0.0,Low Burn
1,3,aug,8,thu,4,26.2,5.8,0.0,34,94.8,222.4,698.6,13.9,0.0,0.0,Low Burn
4,5,aug,8,thu,4,17.4,3.1,0.0,54,89.4,266.2,803.3,5.6,0.0,0.0,Low Burn
7,4,aug,8,mon,1,17.7,4.0,0.0,65,91.5,238.2,730.6,7.5,0.0,0.0,Low Burn
1,4,aug,8,fri,5,11.8,4.9,0.0,88,90.5,196.8,649.9,16.3,9.71,2.3711778844596574,High Burn
